Título,Comentario,Puntaje
"Airbnb ,no os la recomiendo e echo una…","Airbnb ,no os la recomiendo e echo una reserva en esa página de alquiler y ha resultado ser una estafa,me han estafado 900 euros y ellos se lavan las manos",Valorada con 1 estrellas sobre 5
Muy irresponsables,"Muy irresponsables, no te dan ni explicaciones, ni soluciones, si tienes algún problema.Creia que se podía confiar en la página pero he visto que no.se pasan la pelota de unos a otros.",Valorada con 1 estrellas sobre 5
Hice dos reservas y quiero cancelar los…,"Hice dos reservas y quiero cancelar los dos ya que no puedo ir a ninguna por motivos de hospitalización, he llamado a atención al cliente porque me cobran LA TASA DE SERVICIO y en su pagina web pone que las primeras 48 horas te devuelven todo el dinero, cosa que es mentira cuando tienes dos reservas.",Valorada con 1 estrellas sobre 5
PISO FAKE,"He denunciado en su plataforma que tienen un anfitrión anunciando un piso de mi propiedad sobre el que no tiene ningún derecho. Y además tiene hasta reservas!!Supongo que cuando llegue el momento ese anfitrión mandará a los huéspedes a otro de sus pisos con cualquier excusa, fraude total.Yo no tengo cuenta con ellos ni ningún tipo de relación ni anuncio en Airbnb, se lavan las manos a pesar de haberles ofrecido cualquier documentación que necesiten para demostrar que no pueden anunciar mi piso, ES INCREIBLE!! Qué impotencia verlo ahí anunciado sabiendo que es un fake. Qué vergüenza que denunciando que es un fraude no les importe",Valorada con 1 estrellas sobre 5
Anulacion por el covid,"Hola,Quiero compartir la mala praxis que han hecho con el covid 19.En Enero hicimos 2 reservas diferentes para el fin de semana 21 y 22 de marzo, una semana antes decidimos no viajar y anular las reservas por el COVID-19. Al anularlo nos cobraron un 50% de la reserva y no nos quieren abonar el importe. Solo nos abonaron el de una reserva que eran 16€ pero la otra reserva que eran 80€ nada de nada",Valorada con 1 estrellas sobre 5
a la hora de devoluciones se…,"a la hora de devoluciones se desentienden, yo pienso que un intermediario tiene que ser responsable de cualquier contratiempo ya que los tratos los haces con airbnb no con el propietario, primer contratiempo con ellos y no me solucionan nada asi que no volvere a alquilar con ellos y aconsejo tengais mucho cuidado con ellos",Valorada con 1 estrellas sobre 5
Estafadores,Cuidado som unos ladrones . Nos acaban de robar 900€ de la cuenta .con una rezerva k ha hecho alguien k no somos nosotros . Y ahora dicen k no nos devuelven el dinero por k eso tiene k ser algun familiar o amigo el k nos ha robado los datos de la cuenta y lo ha hecho la rezerva 👍👍🤣🤣 ESTAFAFOREZ  Y LADRONES . Ya estamos en proceso denuncia..,Valorada con 1 estrellas sobre 5
Nunca respetaron a los anfitrones tal…,Nunca respetaron a los anfitrones tal como los huéspedes porque lo más les importa es sacar el dinero de la gente y olvidarlo completamente.,Valorada con 1 estrellas sobre 5
Tenía preparado un viaje cuyo…,"Tenía preparado un viaje cuyo itinerario era:Vuelo el 29/06, alojamiento en AirBnb del 29/06 al 04/07 y otro alojamiento TAMBIÉN en AirBnb del 04/07 al 07/07.El vuelo fue cancelado con motivo del COVID19 y AirBnb me ha devuelto el dinero de la primera reserva, PERO SE NIEGAN A HACERLO CON LA SEGUNDA RESERVA a pesar de que es evidente que todo va junto y si no puedo volar para ocupar la primera será imposible que utilice la segunda.Me parece una absoluta falta de seriedad y coherencia por parte de AirBnb y un maltrato manifiesto contra sus clientes.NO VOLVERÉ A USAR SUS SERVICIOS y POR SUPUESTO RECOMIENDO QUE NADIE LO HAGA.",Valorada con 1 estrellas sobre 5
Tenga mucho cuidado intentaron estafar…,Tenga mucho cuidado intentaron estafar me con un piso usando este nombre me dijeron que les ingresará y que luego vería el piso claro yo no tengo ni un pelo de tonta,Valorada con 1 estrellas sobre 5
Vergonzoso,"Vergonzoso. Habíamos alquilado un apartamento en Londres y por motivos de situación de Covid  ( trabajo en un hospital) nos cancelaron los días libres, vacaciones, etc. Aporte toda la documentación que justificaban la cancelación del viaje y nos devolvieron solo el 50%. Una vergüenza, no solo no volveré a utilizar este tipo de reserva sino que difundiré una opinión lamentable de ellos.",Valorada con 5 estrellas sobre 5
Estafa en una casa de Jávea,"Hola,quería contar la estafa que han intentado hacernos a mis amigos y a mí sobre el alquier de una casa en Jávea. (Calle Petrer)Estuvimos buscando anuncios por la página de airbnb y encontramos una casa (por no decir mansión) con piscina, jacuzzi, unas vistas impresionantes, etc. Su precio era de 150€ la noche por lo que nos hizo desde un primer momento dudar, ya que era más bajo que otras casas en la misma ubicación y con menos prestaciones. De todos modos, intentamos contactar con el chico ya que hemos alquilado muchas veces con la plataforma Airbnb y nos daba mucha seguridad.La sorpresa fue que el vendedor quiso ponerse en contacto con nosotros vía whatsapp para hablar antes de hacer la reserva y nos dijo que prefería hacer esta mediante la plataforma TRIPADVISOR. Nos contó un rollo diciéndonos que en esta plataforma los cargos por servicios eran menores y que llevaba muchos años trabajando con esta y se fiaba más.  Nos comunicó que nos iba a mandar un LINK para poder hacer la reserva y pagarla. En ese momento, nos informamos sobre las condiciones que tenía TRIPADVISOR donde decía que si el anuncio tenía el certificado de pago seguro, la plataforma se ocupaba de todos los gastos que pudiera suponer una devolución del dinero, o de una casa que no fuera real, etc. También investigamos la ubicación de la casa mediante Google Earth y efectivamente la casa existía por lo que todo parecía estar bien.Gracias a comentarios como este, donde se explica la experiencia en estafas pude ver que a una chica le había ocurrido algo similar, un hombre le mandaba el LINK  y luego sólo tenía que pagar. En esta estafa que leí, la chica detallaba que cuando abrías el LINK podías apreciar que no podías navegar por el menú que salía en la parte superior y efectivamente cuando accedimos a él nos ocurrió exactamente lo mismo, era una copia de la página falsa. Si no llegamos a investigar un poco la página hubieramos caído ya que es completamente igual! Incluso con el certificado de pago seguro que hemos explicado anteriormente. POR LO QUE ERA UNA GRAN ESTAFA Y TODAVÍA PEOR, TRIPADVISOR SE LAVA LAS MANOS YA QUE ES UNA COPIA FALSA DE LA PÁGINA.Intentamos llamarle por teléfono para decirle lo sinvergüenza y estafador que era, pero CASUALMENTE el número de teléfono salía apagado o fuera de cobertura, sin embargo, aparecía en línea por whatsapp. Insistimos en que nos cogiera el teléfono ""para ayudarnos a reservar"" y nos dio largas, solo atendía whatsapp.Cuando le dijimos al vendedor que era un estafador y que Íbamos a tomar medidas legales directamente nos bloqueó a todos.Con esto, solo queremos ayudar a todas estas personas que puedan llegar a perder su dinero por gente como esta. Por suerte, nosotros no hemos perdido nada pero si no hubiéramos investigado por internet quizás, nos la hubiera colado.",Valorada con 5 estrellas sobre 5
No reembolsan ni ante una catástrofe natural,"En septiembre del 2019 tenía un apartamento reservado dos noches en Benidorm para acudir a un festival musical durante un fin de semana. Resultó ser un fin de semana de diluvio, se cortaron las carreteras, las autopistas y estaba prohibido viajar. Me pareció lamentable y una auténtica vergüenza que ni siquiera ante una causa de fuerza mayor, como era el caso, no me devolvieran mi dinero.",Valorada con 1 estrellas sobre 5
AIRBNB no ha sabido gestionar la crisis…,AIRBNB no ha sabido gestionar la crisis del COVIDNO atiende a sus compromisos de pago con los anfitriones,Valorada con 1 estrellas sobre 5
Una estafa !!!Me dijeron que no…,"Una estafa !!!Me dijeron que no devuelven dinero por el Covid-19,sino te lo dan en crecido de viaje.Este crédito de viaje no aparece en ningún sitio !Al contactar con ellos ,me pasan de un agente a otro sin solucionar nada .No lo recomiendo a nadie,son unos ladrones !!!",Valorada con 1 estrellas sobre 5
Airbnb JAMÁS LO USARÉ,"Si tuviera que definir a Airbnb, seguro que me meten en la cárcel. Según la empresa me ha reembolsado un importe por el COVI19, yo no lo recibo y solo te dicen que lo han remitido, Y NO LO HE RECIBIDO. No vuelvo a confiar mas en empresas que TIENEN esa falta de escrúpulo ante los clientes.Se limitan a decir que lo han enviado y que lo reclame yo. Señores, yo he cumplido con mi obligación de pagar y ustedes, hasta la fecha, no tengo mi dinero.Saludos.",Valorada con 1 estrellas sobre 5
Una ESTAFA!,"Una ESTAFA!Anule el viaje por el confinamiento por CORONAVIRUS, con 3 meses de antelación... Y de los 220€ abonados, solo me devolvieron 100... Diciéndome q lea la letra pequeña... Gracias José Luis de apartamento en Legazpi, de Madrid. Ni siquiera me dan opción a cambiar fecha...NO volveré a confiar en AIRBNB...",Valorada con 1 estrellas sobre 5
Lamentable trato en el estado de emergencia,"Debido a la situación del Covid se ha visto que a Airbnb no le importa su consumidor y solo protege a sus apreciados Hosts, los cuales van a perder más dinero si Airbnb no cuida a sus consumidores. Lamentable.",Valorada con 1 estrellas sobre 5
Busco piso y me contacta una persona…,"Busco piso y me contacta una persona ofreciendo el suyo,me dice que vive en Mallorca y que viajará para firmar...me foo? No me pide solvencia , solo DNI....y mes en curso y uno de fisnza",Valorada con 1 estrellas sobre 5
NO CUMPLEN CON LA POLÍTICA DE CANCELACIÓN,"Nunca había tenido un solo problema pero creo que con el COVID-19 y tras leer el resto de comentarios, no están gestionando bien las cosas.Por mi parte estoy tratando de que se me devuelva el dinero por otras vías puesto que a pesar de tener una reserva protegida por su política de cancelación (reserva realizada antes del 14 de marzo y programada antes del 15 de junio) el reembolso que me ofrecen es de 0€ y del cupón no me fío. Recomiendo, en la medida de lo posible, no cancelar el viaje para que no tengan excusa e intentar reclamar el dinero mediante PayPal, si fue el utilizado para el pago, el propio banco o a través de plataformas que ayuden al consumidor.Por último decir que se rumorea su quiebra, si esto pasara supongo que muchos diríamos adiós para siempre a nuestro dinero.",Valorada con 1 estrellas sobre 5
Buen día estoy en búsqueda de piso para…,"Buen día estoy en búsqueda de piso para alquilar en España Valoria la buena, me contacta una persona la cual me indica que tiene disponible un piso y lo alquila a través de AIRBNB, en lo cual me indica que debo cancelar antes de realizar el contrato de alquiler, quiero saber sus opiniones al respecto aunque a mi parecer es una estafa ya que esta persona indica que debe de viajar desde islas Monarca a España lo cual se que todas las fronteras se encuentras cerradas por lo del virus. gracias por su atención y comentarios al respecto.",Valorada con 1 estrellas sobre 5
No puedo ingresar a España por el coronavirus y airbnb no quiere devolver mi dinero,"En diciembre pagué 45 días de airbnb en españa durante los meses de julio y agosto, estoy tratando de recuperar mi dinero porque los aeropuertos españoles están cerrados debido al coronavirus, no puedo ingresar al país, la aerolínea ya me reembolsó  mi dinero y airbnb dijeron que no me devolverán el dinero.  Nunca había visto tantas tonterías y abusos de poder.",Valorada con 1 estrellas sobre 5
NO CUMPLEN CON SU POLÍTICA DE CANCELACIÓN,"Reservamos casa en Segovia que tenemos que cancelar por motivo de la pandemia por COVID-19. La política de cancelación en este caso, según AirBNB es devolución integra de lo abanado previamente más gastos de cancelación, si la reserva se realizó antes del 14 de Marzo y la estancia es antes del 31 de Mayo.Pues bién, cumpliendo dichas condiciones su respuesta es que la devolución es 0 €.Vergonzoso. No volveremos a utilizar esta plataforma.",Valorada con 1 estrellas sobre 5
Llaves digitales,"Alguien me puede indicar, cuales son las llaves digitales que se adapten mejor para Airbnb",Valorada con 4 estrellas sobre 5
No me devuelven la Plata desde hace 6 meses,"El pasado 26 de octubre de 2019, Reserve en un supuesto apartamento en cartagena y resulto ser una habitacion en un apartamento en cartagena.Como yo ya habia consignado, solicite mi devolucion del dinero a la tarjeta de credito; quedaron de realizar la devolución al otro dia y esta es la hora que el dinero no me lo devuelven y tampoco me contestan.Estoy pagando intereses de los intereces al banco x culpa de AirBnB",Valorada con 1 estrellas sobre 5
hemos tenido que cancelar un viaje…,hemos tenido que cancelar un viaje porque no nos dejaban volar por el cobre 19 y resulta que el apartamento que teníamos cogido en Viena no nos devuelve el dinero porque para ellos la fuerza mayor es a partir del 16 de abril entonces Airbnb sí que nos devuelve su cantidad pero creo que la política que tiene no es la correcta ya que no están engañando es al usuario. el señor del apartamento se ha quedado con 350 € por todo el morro y encima seguro que en negro que no la ha tenido ni que declarar porque como nosotros no hemos podido viajar a su país.,Valorada con 1 estrellas sobre 5
a mi siempre me ha ido genial con esta web,Yo tuve que cancelar un viaje por cuestiones meteorológicas y se portaron fenomenal.Buena atención y rapidez.Mi experiencia con ellos siempre ha sido buena,Valorada con 5 estrellas sobre 5
Sin reembolso por parte de Airbnb,"Hemos tenido que cancelar la estancia en USA por el COVID-19 y, tanto el anfitrión como Airbnb, se niegan a devolvernos el importe abonado. Vergonzoso que alguien pretenda hacer  negocio con este tema.",Valorada con 1 estrellas sobre 5
Unos sinvergüenzas y unos ladrones,"Unos sinvergüenzas y unos ladrones, tanto los anfitriones como los de Airbnb que son unos estafadores, resulta que nos íbamos de viaje y por causa del coronavirus unos días antes del viaje no pudimos viajar debido a que nos cerraban fronteras a los turistas españoles, pues bien la compañía no te da ninguna solución y eso que entramos dentro de su política de reembolso total por causa mayor debido al coronavirus y el anfitrión ni te contesta y después de muchos mensajes te dice con toda su cara que no te devuelve el dinero... Una estafa en toda regla..",Valorada con 1 estrellas sobre 5
Airbnb Un desastre,"Hola! En enero hicimos una reserva de un apartamento en París para el mes de Junio, una vez hecha intentamos contactar con el anfitrión para modificar la hora de llegada, tardó una infinidad en contestarnos... Hace 3 semanas viendo cómo estaba la situación mundial con esto del Cov 19, y que nuestro viaje previo a eurodisney iba a ser anulado, decidimos entrar en contacto otra vez con él para ver si era posible modificar las fechas o aplazar la reserva; no hubo respuesta. Viendo cómo se fueron complicando las cosas y entendiendo que avisando con 15 días de antelación era posible la anulación, decidimos anular, para que el tuviese tiempo suficiente de saberlo y si las cosas mejoraban pudiese volver a alquilar... Aquí sí que nos contestó: "" se quedaba con la reserva de 470 €, por qué él tenía gastos de mantenimiento... "" Viendo su respuesta acudimos a Airbnb para q mediase, su respuesta, que el anfitrión podía hacer lo que quisiese... Intentamos reactivar la reserva, por qué ya de perder el dinero intentar q sea lo mm as próximo al viaje .. seguimos sin respuesta ni del anfitrión ni de Airbnb. UN DESASTRE",Valorada con 1 estrellas sobre 5
Buenos dias he de decir que no es la…,"Buenos dias he de decir que no es la primera vez que viajo reservando con Airbnb y no he tenido ningun problema hasta ahora. Realice una reserva de una habitacion para mi hijo del 2 de marzo al 31 de mayo en Bolton Inglaterra estaria tres meses con una beca erasmus de profesor en practicas.El 18 de marzo a causa de la pandemia mundial del CORONAVIRUS tuvo que volver a españa el colegio cerro no habia posibilidad de seguir practicas el erasmus le retiro los seguros de todo tipo y le enviaron mensaje del ministerio del interior recomendando su retorno.intente hacer la cancelacion de la reserva via web sin lograrlo me dicen ahora despues cobrarme el mes de abril y avisarme del cobro de mayo aunque luego dicen que no lo van ha hacer, de que me ponga en contacto con el dueño de la vivienda y ahora que ha dicho que no que ellos mediaran me parece que no es de recibo dado que esto es una pandemia mundial y esta masss que justificado. Las normas para la devolucion deberian en este caso ser respetadas.",Valorada con 1 estrellas sobre 5
Supongo que a muchos les pasará lo…,"Supongo que a muchos les pasará lo mismo que a mí,tenía una reserva para Julio que cancele por el covid me dicen que no tengo derecho a reembolso del 50 por cien pq solo he pagado el 50 por cien es decir q se quedan lo que pague ,no me devuelven nada .No está muy clara la cosa pq yo pensaba que era el 50 % de lo que había pagado hasta ahora, pero según ellos no .Me siento engañada y estafada",Valorada con 1 estrellas sobre 5
HARTA DE QUE LA GENTE NO SEPA QUE LOS PROPIETARIOS DE AIRBNB PAGAN IMPUESTOS,"En respuesta a: Ines Rodriguez1 opinión1 estrella: Muy maloHace 3 díasAceptan subarriendos de manera ilegalQUE SEPAS QUE EL MOTIVO POR EL QUE LA GENTE TIENE QUE CAMBIAR LAS DIRECCIONES ES PORQUE LOS AYUNTAMIENTOS NO CONCEDEN LICENCIAS EN LAS GRANDES CIUDADES- RECIENTEMENTE LA UNIÓN EUROPEA A VUELTO A ADMITIR EL DERECHO A ALQUILAR UNA PROPIEDAD O HABITACIÓN. ASÍ QUE AL FINAL VEREMOS QUIEN GANA EL SURREALISTA PULSO QUE PRETENDE MANTENER EL AYUNTAMIENTO CON LAS LICENCIAS . PONER PUERTAS AL CIELO ES INCOHERENTE, PRETENDER SUFRAGAR LA MALA GESTIÓN DE LAS COMUNIDADES AUTÓNOMAS CON LA VIVIENDA SOCIAL, CARGANDO EL MUERTO AL PROPIETARIO PARTICULAR, AÚN MÁS INCOHERENTE. VENDER EDIFICIOS A FONDOS BUITRE POR DOS DUROS Y CONSTRUIR UN POQUITO DE VIVIENDA SOCIAL POR UN PASTÓN, ES UN SIN SENTIDO CUANDO PODÍAS HABER GASTADO LA MITAD Y TENER TRES VECES MÁS VIVIENDAS PÚBLICAS SINO LAS HUBIERAS VENDIDO A UN FONDO BUITRE, POR MUY SOSTENIBLES QUE LAS HAGAN, NOS LA BUFA TANTA SOSTENIBILIDAD CUANDO SE PODÍA HABER GASTADO LA MITAD. ES 20 VECES MÁS CARAS CONSTRUIRLAS SOSTENIBLES QUE MAL VENDERLAS A LOS FONDOS BUITRES- LA MAYORÍA DE LAS LICENCIAS DE BARCELONA RECAEN EN CUATRO MANOS DE ESPECULADORES Y NO EN PROPIETARIOS QUE TIENEN UN SOLO PISO.Y QUE SEPAS!!!QUE SE PAGAN IMPUESTOS PORQUE TODO EL DINERO DE AIR BNB PASA POR EL BANCO Y SE TIENE QUE QUE DECLARAR, PERO A CAMBIO TE TRATAN COMO A UN DELINCUENTE Y NO TIENES NINGÚN DERECHO.NO HABLÉIS DE LO QUE NO SABÉIS SINO OS IMPORTA.QUE PARA OÍR CHORRADAS MEJOR PERDÉIS EL TIEMPO EN PLANTEAR UN PLAN DE VIVIENDA SOCIAL CON SENTIDO COMÚN Y NO A COSTA DE LOS PARTICULARES QUE ENCIMA PAGAN HIPOTECAS A 40 AÑOS EN MUCHOS CASOS. Y QUE SEPÁIS QUE PARA TENER VIVIENDAS SOCIALES HACE FALTA RECAUDAR IMPUESTOS, DE MOMENTO DIOS TODO PODEROSO NO LAS CONCEDE. Y DE LO QUE DECLARAN LOS ""DELINQENTES "" QUE ALQUILAN EN AIRBNB SE GENERAN IMPUESTOS. QUÉ CURIOSO EH? HABRÁ QUE DEDICARSE UN RATO A PLANTEARSE DE DONDE VIENEN LOS NIÑOS. PORQUE DE PARÍS NO!!!!!",Valorada con 2 estrellas sobre 5
cancelación improcedente,"Buenas tardes, esta mañana recibi una cancelación sin previo aviso ni nadie preguntar, cancelación a  0 coste, y hablando con el huésped me dice que a el no le han devuelto el importe sino que le han dado un bono para usar en el futuro, me pregunto, si el cliente no tiene el importe ni el anfitrión tampoco, donde está el importe? voy a poner una denuncia por que me parece que esta situación es demandable.",Valorada con 1 estrellas sobre 5
Airbnb no se entera y una mayoría de viajeros tampoco!,"Nosotros como anfitriones tenemos una política de cancelación que acepta el viajero antes de hacer la reserva. Es un trato entre nosotros y el viajero.Igual que por ejemplo un teatro, tenemos una inversión hecha ya mucho antes que venga el cliente y necesitamos una garantía por el hecho que una reserva nos bloquea las fechas reservada igual que la compra de una entrada ocupa una butaca en el teatro.En un mercado donde el cliente podrá cancelar hasta muy poco antes del check in sin pagar por la reserva o por lo menos una parte, nos sería imposible existir.De hecho, tanto nosotros como muchos proveedores de servicios turísticos no solo van a sufrir mucho sino que muchos van a quebrar y desaparecer, lo mismo que muchos teatro podrían desaparecer si se les encima obligue a devolver el dinero ya pagado para actuaciones ya programados.Esto tiene consecuencias graves y directas para muchos trabajadores y familias.Esperamos de los viajeros que entiendan la gravedad de la situación y en particular a los malhablados y vulgares les recordamos que esto no son formas y tal vez pronto se verán igual en una situación parecida donde dependen de que el sentido común les salve de una tragedia personal.Airbnb cambio 2 veces nuestra política de cancelaciones de manera unilateral y sin nuestro consentimiento. La primera vez por política propia y la segunda por el coronavirus.Nosotros pensábamos que éramos socios de airbnb pero se ve que somos meros objetos para comerciar.Nosotros pensamos que tenemos derecho de negociar nuestro propia acuerdo comercial con el cliente - Siempre dentro del marco legal - sin que se nos dicte Airbnb.El cliente suele estar asegurado a través de las tarjetas bancarias o puede contratar un seguro de cancelación de viaje.Nosotro hemos decidido prescindir colaborar con Airbnb ante su comportamiento hacia los anfitriones.Esperemos que esta crisis termine pronto y que todos la superemos con buena salud y el mínimo de pérdidas económicos.Un saludo",Valorada con 1 estrellas sobre 5
me estafaron me sacaron plata de una…,me estafaron me sacaron plata de una reserva que canceló pero en la aplicacion decia que eran 100 y me sacaron 3400 despues me dijeron que me los iban a devolver y apenas surgio el covid 19 dijeron que no AIRBNB JODEDORES,Valorada con 1 estrellas sobre 5
Están ofertando apartamentos turísticos…,Están ofertando apartamentos turísticos en plena cuarentena cosa que el gobierno ha dicho que deben cerrar y ellos siguen poniendo en riesgo la salud de viajeros y personas que viven en esos edificios espero poder denunciarlos a ellos y a los anfitriones ladrones por no retirar los anuncios y por si fuera poco encima inician una campaña para donar a los anfitriones que vergüenza que donen a la sanidad a los que han perdido el trabajo a las familias sin recursos a los sin techo mira si tienen para elegir no a los anfitriones que suelen ser fondos buitre o personas con segundas o terceras viviendas que solo se lucran con ello y no generan riqueza ni empleo mas que para si mismos y tendrán su vivienda pagada vergonzosa actuación Fuera apartamentos turísticos y subiendo el precio de alquileres normales estos son los que traen la ruina donativos a anfitriones increíble ojala eliminen airbn booking y a toda esta gentuza,Valorada con 1 estrellas sobre 5
NO USAR NUNCA AIRBNB -,"SI PODEIS NO REALICEIS RESERVAS CON ESTA COMPAÑIA, SE ESTAN APROVECHANDO DEL COVID PARA REALIZAR NEGOCIO.AUNQUE EL AMFITRION HA DICHO QUE TE REEMBOLSARIA LA RESERVA, HABLAN CON EL PARA QUE NO LO ACEPTE, PARA NO PERDER NEGOCIO.SON UNOS APROVECHADOS.  UNA VERGUENZA DE EMPRESA Y DE PERSONAS TRABAJAN ALLÍ.",Valorada con 1 estrellas sobre 5
Todo fue bien hasta que tuve un…,"Todo fue bien hasta que tuve un problema, mi huésped se niega a abandonar escudándose en la emergencia sanitaria y Airbnb se lava las manos. No me han facilitado ni siquiera el documento de identidad para hacer la denuncia ante las autoridades. Si llamas al centro de atención, te atienden robots, no hacen más que lavarse las manos. Para mí, dejaron de existir.",Valorada con 1 estrellas sobre 5
He puesto 1 estrella porque no deja…,"He puesto 1 estrella porque no deja comentar sin menos, todo va bien en Airbnb hasta que tienes un  problema , en este caso con una reserva afectada por Covid 19, ahi es cuando ves hasta donde puede llegar la gestion nefasta, si cancelas aunque sea debido a un problema como este dejan a entera eleccion del anfitrion la devolucion del importe parcial o total. En cuanto a la comision que ellos se llevan por cada estancia tampoco esperes nada, ni el mas minimo gesto, todo esto tiene un calificativo que los define:  USURA , en este caso agravado por el Estado de Alarma impuesto a causa de Covid 19 .",Valorada con 1 estrellas sobre 5
FATAL,"FATAL, TENÍAMOS RESERVADO UN APARTAMENTO QUE NOS COSTÓ 284 EUROS Y TUVIMOS QUE ANULARLO POR FUERZA MAYOR A CAUSA DEL COVID19, YA QUE UNOS VENÍAN DE BARCELONA Y NO PUDIERON VIAJAR, ME HAN DEVUELTO 40 EUROS, ME PARECE INDIGNANTE QUE SOLO VAYAN A SACAR DINERO, ENTIENDO QUE ME COBREN GASTOS DE LIMPIEZA O DE GESTIÓN, PERO ESTO EN DE JUZGADO",Valorada con 5 estrellas sobre 5
AIRBNB y AIRBNB ARGENTINA es una…,"ESTAFADORES AVALADOS POR AIRBNB y AIRBNB ARGENTINA Empresa conformada por gente que responde ante la EMERGENCIA tipo robot del año 1970.Si te sucede algo como nos sucedió, si tienes problemas con la propietaria como nos ocurrió se lava las manos y TE ABANDONA A TU SUERTE.LITERALMENTE TE DEJA EN LA CALLE.Con estadía paga por adelantado y  habiendo transcurrido solo un día de ella. AVALA ESTAFADORES.En ARGENTINA, si quieres alquilar  a un propietario argentino, una propiedad sita en ARGENTINA y tu eres ARGENTINO, TE COBRAN DOLARES.Cuelgan en el TOILLETE, al lado del inodoro TODOS TUS DERECHOS y PACTOS DE DDHH.Pone muy lindas palabras en su páginas  que son TODAS MENTIRAS.NO TIENEN PIEDAD NI MORAL, solo les importa $$$$. Una vez que te cobraron SE PONEN DEL  LADO DE LOS DELINCUENTES",Valorada con 1 estrellas sobre 5
Yo tenia una reserva  para dos noches…,"Yo tenia una reserva  para dos noches en Miami para este fin de mes, pero por el Covid19 era obvio que no se podía viajar, hablé con airbnb y me devolvieron el dinero al cancelar mi reserva, solo no me devolvieron la comisión de airbnb, pero si el costo total del airbnb que renté, eso me dejó más tranquilo.. He reprogramado mi viaje para fines de Agosto, esperando que ya todo se haya resuelto, y pienso rentar un airbnb...",Valorada con 4 estrellas sobre 5
Estafada por Rocio en Málaga. Apartamento Lola Home Sweet home,"Reserve para Mayo un apartamento en Málaga. Lola, home sweet homeCasa/apto. entero · Anfitrión: RocíoMe parece una vergüenza que no reembolse íntegramente el importe. En estas circunstancias en las que no se puede viajar por el coronavirus es un abuso y una inmoralidad aprovecharse de las personas para ganar 70 euros.  Dice mucho del tipo de persona que es el anfitrión: oportunista, abusadora, insensible, aprovechada, usurera y mala persona.",Valorada con 1 estrellas sobre 5
servicio atención al cliente nefasto,"el servicio de atención al cliente no es nada confiable, se lavan las manos cada vez que hay un problema",Valorada con 1 estrellas sobre 5
Es verdad que la empresa no está…,"Es verdad que la empresa no está reaccionando como debe, pero lo peor son las personas dueños de los alojamientos o sea los anfitriones, personas como tú y yo. Ellos pueden decidir devolverte el 100% pero no lo hacen, como por ejemplo mi anfitrión Alexander y su estudio cerca de la Gran Vía en Madrid, gente de cuarta que se escudan en el contrato para obtener beneficios en esta crisis. Mi consejo esperar para cancelar lo más posible, puede que al final te devuelvan todo, no les va a quedar más remedio a estos mal paridos anfitriones. Y a los mayores de 60 les doy la idea de pedir a sus médicos una nota donde les aconsejen no viajar así tendrán algo para luego reclamar.",Valorada con 1 estrellas sobre 5
Ni tenéis vergüenza ni la conocéis,Ni tenéis vergüenza ni la conocéis. Sinvergüenzas.,Valorada con 1 estrellas sobre 5
Reservé y pagué por una habitación en…,Reservé y pagué por una habitación en Madrid (Gran Vía 1 - Sr. Enrique Melvin) y por la pandemia del coronavirus debí cancelar la estadía.Cancelé con 2 meses de anticipación pero sólo logré que me reintegren el 43% del total abonado.Es poco serio y nunca más voy a contratar por AirBnB. Es la rpimera y última vez que reservo a través de este medio.,Valorada con 1 estrellas sobre 5
Hola:,"Hola:Resulta vergonzoso su política de no devolver los desembolsado ante la situación de alerta actual.Mi reserva era por cuestión de trabajo, que no puedo realizar y se niegan ha devolver nada, si siquiera una parte.Por mi parte, esta plataforma deja de existir.Un saludo",Valorada con 1 estrellas sobre 5
Esta gente se piensa que son los reyes…,"Esta gente se piensa que son los reyes del mambo, intentas publicar una experiencia que ya la tienes en las mejores plataformas de mundo y van estos listos y dice que no es muy buena. Y yo me pregunto ¿y a vosotros quien os ha escogido?Un completo desastre.",Valorada con 1 estrellas sobre 5
Usura en tiempo de Emergencia Sanitaria,"Vergonzoso que no devuelvan el importe íntegro de una reserva hecha con antelación para el 19 de Marzo, cuando estamos en Alerta sanitaria,confinados en casa y con cierre obligatorio de hoteles y apartamentos turísticos. Está claro que Airbnb quiere seguir haciendo negocio de la desgracia.Han perdido un cliente para siempre y espero que muchos más cuando lean esto.",Valorada con 1 estrellas sobre 5
empresa lamentable,Lamentable la actuación que está teniendo con la pandemia mundial que estamos viviendo sin ofrecer cambios o anulaciones a coste cero cuando es una causa de fuerza mayor vergonzoso!!! No volveré q coger nada por esta web.Les he pedido poner una hoja de reclamaciones ay no tienen!!!!,Valorada con 1 estrellas sobre 5
Vergonzosa la gestión que están…,"Vergonzosa la gestión que están teniendo tras la epidemia del coronavirus. Tenía una reserva para el viernes día 13, día en que el presidente anuncia estado de alarma en España y me dicen que no hay reembolso porque no está incluído en sus políticas de causa de fuerza mayor hasta el día 14 de marzo.",Valorada con 1 estrellas sobre 5
